"";"Date";"Consumption"
"1";2018-01-01;10,2734853108577
"2";2018-01-02;23,5495737508805
"3";2018-01-03;34,1417434010521
"4";2018-01-04;27,511694871166
"5";2018-01-05;51,6379825888997
"6";2018-01-06;29,7650895031999
"7";2018-01-07;45,7775376046264
"8";2018-01-08;31,6334983015061
"9";2018-01-09;27,2936930097938
"10";2018-01-10;24,3065630383241
"11";2018-01-11;23,2435804710993
"12";2018-01-12;32,3500032026414
"13";2018-01-13;11,2604765710448
"14";2018-01-14;18,4605508317342
"15";2018-01-15;34,2302920432416
"16";2018-01-16;27,3586280052305
"17";2018-01-17;12,1492796579291
"18";2018-01-18;9,31398687129138
"19";2018-01-19;24,4089397946248
"20";2018-01-20;31,3967046726559
"21";2018-01-21;38,8602445156294
"22";2018-01-22;22,7005932380463
"23";2018-01-23;32,1378019037326
"24";2018-01-24;82,2933459952293
"25";2018-01-25;42,1344738395637
"26";2018-01-26;16,9882120372215
"27";2018-01-27;35,2013964709752
"28";2018-01-28;24,1225743760816
"29";2018-01-29;53,9344003317304
"30";2018-01-30;19,6009320922725
"31";2018-01-31;10,0082452259123
"32";2018-02-01;29,8339524907528
"33";2018-02-02;16,472821293838
"34";2018-02-03;40,6718631163963
"35";2018-02-04;32,8650985714969
"36";2018-02-05;31,0467228370734
"37";2018-02-06;55,8079059968982
"38";2018-02-07;15,1520086178515
"39";2018-02-08;39,2236735851271
"40";2018-02-09;37,8508491500526
"41";2018-02-10;22,5261637488968
"42";2018-02-11;70,8850109535365
"43";2018-02-12;32,4092667916067
"44";2018-02-13;41,8415935021924
"45";2018-02-14;36,4615591482625
"46";2018-02-15;32,7575609744078
"47";2018-02-16;26,5824205843922
"48";2018-02-17;14,7389149927223
"49";2018-02-18;23,5840161978922
"50";2018-02-19;17,7499075431778
"51";2018-02-20;12,7948053300272
"52";2018-02-21;22,561704127207
"53";2018-02-22;24,2778757199748
"54";2018-02-23;30,5380811018237
"55";2018-02-24;30,9999158245212
"56";2018-02-25;13,7085381464801
"57";2018-02-26;42,9275575275406
"58";2018-02-27;27,1749679494387
"59";2018-02-28;33,3888356728934
"60";2018-03-01;29,5110066586147
"61";2018-03-02;81,1394819279001
"62";2018-03-03;18,1424493505691
"63";2018-03-04;24,5710684634613
"64";2018-03-05;42,8355026848171
"65";2018-03-06;39,5422061020565
"66";2018-03-07;24,5376243762664
"67";2018-03-08;30,6448081125613
"68";2018-03-09;18,1432171242667
"69";2018-03-10;29,9222802928066
"70";2018-03-11;25,7712021381724
"71";2018-03-12;31,006365904593
"72";2018-03-13;27,0876110995889
"73";2018-03-14;41,9089185053704
"74";2018-03-15;26,6695658025349
"75";2018-03-16;66,7747273290131
"76";2018-03-17;5,07038516518517
"77";2018-03-18;60,8691711691478
"78";2018-03-19;58,1063103640531
"79";2018-03-20;17,0328781152316
"80";2018-03-21;46,0062145975466
"81";2018-03-22;27,5039366878725
"82";2018-03-23;21,6778391480042
"83";2018-03-24;18,1484133473551
"84";2018-03-25;48,1334604170936
"85";2018-03-26;26,5970895332584
"86";2018-03-27;20,3910987817453
"87";2018-03-28;17,4410914210118
"88";2018-03-29;37,4783803039607
"89";2018-03-30;13,5287305864559
"90";2018-03-31;48,548865056298
"91";2018-04-01;38,0951610581691
"92";2018-04-02;40,0591575080148
"93";2018-04-03;51,8668536341002
"94";2018-04-04;30,7021373419624
"95";2018-04-05;54,2917686553964
"96";2018-04-06;18,9750329802736
"97";2018-04-07;30,5302383973242
"98";2018-04-08;35,2464216237099
"99";2018-04-09;14,512347539726
"100";2018-04-10;19,8360465056656
"101";2018-04-11;12,1060737731678
"102";2018-04-12;26,3876696852475
"103";2018-04-13;16,0794266562483
"104";2018-04-14;51,6446895244921
"105";2018-04-15;39,3766557433867
"106";2018-04-16;13,1138986476313
"107";2018-04-17;28,3395281668369
"108";2018-04-18;17,6642700576897
"109";2018-04-19;12,0899383452288
"110";2018-04-20;12,7857187797961
"111";2018-04-21;28,4103699260124
"112";2018-04-22;11,2359564319095
"113";2018-04-23;34,1675387100485
"114";2018-04-24;10,8576772142748
"115";2018-04-25;28,9103484664892
"116";2018-04-26;38,7981058636473
"117";2018-04-27;27,2265349277232
"118";2018-04-28;21,597208222589
"119";2018-04-29;15,7023317439109
"120";2018-04-30;31,9252775704655
"121";2018-05-01;19,264248053677
"122";2018-05-02;34,3144426179242
"123";2018-05-03;45,9196976542761
"124";2018-05-04;33,3216945488526
"125";2018-05-05;26,4230565951472
"126";2018-05-06;38,2650737810492
"127";2018-05-07;25,3837929964084
"128";2018-05-08;22,1934269461061
"129";2018-05-09;30,5423693141329
"130";2018-05-10;22,6656169252437
"131";2018-05-11;40,9965178899513
"132";2018-05-12;14,2617384193792
"133";2018-05-13;51,8382276815606
"134";2018-05-14;54,9469565640864
"135";2018-05-15;35,9458358017053
"136";2018-05-16;11,1053852457584
